open_time,open,high,low,close,close_time
1782471600000,59290.0,59569.0,59233.1,59392.4,1782475199999
1782475200000,59392.4,59998.4,58940.0,59167.6,1782478799999
1782478800000,59167.6,60189.5,58388.0,60153.3,1782482399999
1782482400000,60153.5,60274.2,59358.8,59568.9,1782485999999
1782486000000,59568.9,60494.1,59560.0,60296.6,1782489599999
1782489600000,60296.9,60580.0,59933.1,60017.8,1782493199999
1782493200000,60017.8,60276.5,59921.4,60000.0,1782496799999
1782496800000,60000.0,60140.7,59530.7,59648.9,1782500399999
1782500400000,59648.9,60077.8,59586.3,59719.7,1782503999999
1782504000000,59719.9,59970.0,59556.0,59694.7,1782507599999
1782507600000,59694.7,60028.0,59649.2,59887.6,1782511199999
1782511200000,59887.6,60051.0,59717.1,60007.5,1782514799999
1782514800000,60007.6,60090.8,59871.9,60072.0,1782518399999
1782518400000,60071.9,60167.3,59846.2,60033.4,1782521999999
1782522000000,60033.4,60046.9,59904.8,59919.1,1782525599999
1782525600000,59919.0,60349.0,59888.7,60256.6,1782529199999
1782529200000,60256.6,60387.8,60134.5,60274.7,1782532799999
1782532800000,60274.8,60472.2,60189.4,60215.9,1782536399999
1782536400000,60215.9,60286.0,60101.9,60208.3,1782539999999
1782540000000,60208.4,60492.2,60074.5,60345.3,1782543599999
1782543600000,60345.2,60557.8,60266.0,60522.3,1782547199999
1782547200000,60522.4,60522.5,60336.2,60425.1,1782550799999
1782550800000,60425.2,60482.9,60261.0,60391.2,1782554399999
1782554400000,60391.3,60466.5,60350.0,60390.3,1782557999999
1782558000000,60390.3,60425.4,60162.0,60331.9,1782561599999
1782561600000,60331.9,60407.1,60222.6,60394.0,1782565199999
1782565200000,60394.0,60643.1,60356.1,60554.6,1782568799999
1782568800000,60554.6,60697.6,60480.0,60588.9,1782572399999
1782572400000,60589.0,60924.7,60541.1,60817.2,1782575999999
1782576000000,60817.3,60850.0,60648.2,60785.0,1782579599999
1782579600000,60784.9,60796.6,60383.0,60495.6,1782583199999
1782583200000,60495.6,60547.3,60420.2,60537.8,1782586799999
1782586800000,60537.9,60576.9,60050.0,60149.9,1782590399999
1782590400000,60149.9,60283.4,60141.7,60272.8,1782593999999
1782594000000,60272.8,60469.8,60108.9,60173.4,1782597599999
1782597600000,60173.4,60230.0,59819.8,60204.3,1782601199999
1782601200000,60204.3,60303.2,59913.9,60000.3,1782604799999
1782604800000,60000.4,60168.7,59983.3,60125.1,1782608399999
1782608400000,60125.1,60256.8,59950.0,60193.0,1782611999999
1782612000000,60193.1,60314.3,60017.2,60121.2,1782615599999
1782615600000,60121.2,60250.4,60121.2,60169.5,1782619199999
1782619200000,60169.5,60205.4,60060.0,60108.1,1782622799999
1782622800000,60108.0,60112.3,59714.8,59956.6,1782626399999
1782626400000,59956.6,60020.0,59772.9,59970.0,1782629999999
1782630000000,59970.0,60247.1,59965.8,60192.5,1782633599999
1782633600000,60192.4,60543.3,60109.5,60340.1,1782637199999
1782637200000,60340.1,60444.0,60223.1,60230.0,1782640799999
1782640800000,60230.0,60271.8,60037.0,60138.5,1782644399999
1782644400000,60138.4,60351.3,60091.4,60314.9,1782647999999
1782648000000,60315.0,60435.8,60161.2,60270.0,1782651599999
1782651600000,60269.9,60269.9,59934.3,60044.5,1782655199999
1782655200000,60044.6,60228.5,59983.0,59995.3,1782658799999
1782658800000,59995.3,60103.2,59781.8,59849.9,1782662399999
1782662400000,59850.0,59915.7,59550.0,59655.9,1782665999999
1782666000000,59655.9,59821.9,59366.6,59557.3,1782669599999
1782669600000,59557.3,59678.8,59466.9,59580.7,1782673199999
1782673200000,59580.7,59658.2,59224.6,59451.4,1782676799999
1782676800000,59451.3,59747.7,59443.8,59634.0,1782680399999
1782680400000,59634.1,59773.8,59300.0,59418.1,1782683999999
